,,,소계,매립시설,기타시설,소계,인건비,차량운영비,장비구입비,위탁처리비,시설관리비,기타
,안양시,"24,000,000",0,0,0,"24,000,000",0,0,0,"24,000,000",0,0
,화성시,"64,518,386",0,0,0,"64,518,386","30,940,519","5,621,928","2,108,003","3,753,221","11,963,687","10,131,028"
,평택시,"35,961,043",0,0,0,"35,961,043",0,0,0,"35,961,043",0,0
,의정부시,"47,446,716",0,0,0,"47,446,716","549,701","844,949","1,406,087","37,573,881","1,331,790","5,740,308"
,시흥시,"44,850,006",0,0,0,"44,850,006","3,392,792","429,943",0,"31,522,098","8,177,557","1,327,616"
,파주시,"54,556,169",0,0,0,"54,556,169","15,057,872",0,0,"595,176","26,393,041","12,510,080"
,김포시,"28,951,104",0,0,0,"28,951,104",0,"270,571","188,266","18,862,513","9,629,754",0
,광명시,"38,899,214",0,0,0,"38,899,214","4,075,881","100,900","652,000","16,043,763","13,901,466","4,125,204"
,광주시,"33,772,777","95,771",0,"95,771","33,677,006","3,430,248","162,220","374,081","29,413,788","296,669",0
,군포시,"24,939,001",0,0,0,"24,939,001","6,244,316",0,0,"17,249,437",0,"1,445,248"
,오산시,"21,215,397",0,0,0,"21,215,397","3,250,831","157,319",0,"16,952,660","191,380","663,207"
,이천시,"18,059,354",0,0,0,"18,059,354",0,"49,720",0,"14,372,403","3,637,231",0
,양주시,"27,769,794",0,0,0,"27,769,794","205,328","82,559","158,000","16,258,649",0,"11,065,258"
,안성시,"12,965,609",0,0,0,"12,965,609","8,856,116","686,795","535,773","18,315","24,850","2,843,760"
,구리시,"21,223,273",0,0,0,"21,223,273",0,"145,590",0,"21,077,683",0,0
,포천시,"19,670,554",0,0,0,"19,670,554","2,863,481",0,"70,718","15,547,335","603,670","585,350"
,의왕시,"19,575,364",0,0,0,"19,575,364","1,890,210","175,799","476,930","7,287,164","8,470,845","1,274,416"
,하남시,"9,281,749",0,0,0,"9,281,749","3,300,265","5,328","17,799","5,958,357",0,0
,여주시,"7,446,500","1,103,222","811,428","291,794","6,343,278","3,406,903","303,160","640,071","1,809,884","183,260",0
,양평군,"10,820,878","552,170",0,"552,170","10,268,708","5,331,804","613,645","530,396","1,338,265","672,569","1,782,029"
,동두천시,"9,752,404",0,0,0,"9,752,404","1,792,846","153,463","539,792","6,073,390","995,924","196,989"
,과천시,"7,743,262",0,0,0,"7,743,262",0,0,"486,371","2,051,355","5,205,536",0
,가평군,"11,077,134",0,0,0,"11,077,134","3,768,906","512,474","200,000","2,219,965","441,000","3,934,789"
,연천군,"7,348,520",0,0,0,"7,348,520","2,808,106","352,100","178,269","4,010,045",0,0
강원,소계,"248,488,578","27,708,525","6,499,339","21,209,186","220,780,053","62,571,714","5,409,862","4,124,571","100,787,069","30,018,145","17,868,692"
,강원도,0,0,0,0,0,0,0,0,0,0,0
,춘천시,"35,797,845","821,653","729,049","92,604","34,976,192","9,536,193","1,735,832","21,500","17,356,874","1,548,993","4,776,800"
,원주시,"42,333,391",0,0,0,"42,333,391","17,705",0,0,"42,107,533","208,153",0
,강릉시,"45,783,500","14,263,910","1,500,152","12,763,758","31,519,590","14,107,640","64,482","802,119","11,779,939","2,117,339","2,648,071"
,동해시,"18,777,283","3,910,000",0,"3,910,000","14,867,283","7,833,426","319,385","171,112","4,089,645","171,106","2,282,609"
,태백시,"10,183,581",0,0,0,"10,183,581","3,547,437","287,986","641,974","5,032,153","674,031",0
,속초시,"6,325,859",0,0,0,"6,325,859","47,076","25,398","241,832","5,221,760",0,"789,793"
,삼척시,"11,424,353","1,055,418","675,821","379,597","10,368,935","6,216,040","670,218","242,880","2,009,436","1,230,361",0
,홍천군,"13,542,576","124,777",0,"124,777","13,417,799","727,120","363,054","9,380","4,924,722","6,411,741","981,782"
,횡성군,"7,537,486",0,0,0,"7,537,486","1,071,406","37,917","105,025","2,942,676","2,144,688","1,235,774"
,영월군,"6,075,602",0,0,0,"6,075,602","2,313,909","235,575","271,881","604,595","2,649,642",0
,평창군,"7,937,942",0,0,0,"7,937,942","2,670,021","36,120","46,201","1,200,000","3,421,600","564,000"
,정선군,"6,301,838",0,0,0,"6,301,838","3,767,698","203,134","68,613","1,028,942","1,118,701","114,750"
,철원군,"2,448,300",0,0,0,"2,448,300",0,0,0,0,0,"2,448,300"
,화천군,"4,216,952","1,019,000",0,"1,019,000","3,197,952","1,426,700","210,000","15,000","1,501,252",0,"45,000"
,양구군,"4,874,313","647,800",0,"647,800","4,226,513","2,200,384","556,222",0,"900,300","128,726","440,881"
,인제군,"7,409,862","600,755","600,755",0,"6,809,107","2,199,829","315,181","462,031",0,"3,531,342","300,724"
,고성군,"8,912,292","4,346,000","2,750,000","1,596,000","4,566,292","2,832,232","161,263","91,000",0,"1,481,797",0
,양양군,"8,605,603","919,212","243,562","675,650","7,686,391","2,056,898","188,095","934,023","87,242","3,179,925","1,240,208"
충북,소계,"134,391,158","18,126,178","14,178,231","3,947,947","116,264,980","29,647,101","1,723,395","1,222,331","58,589,417","24,468,144","614,592"
,청주시,"56,282,359","16,666,277","13,193,972","3,472,305","39,616,082","18,599,259","1,182,554","360,000","18,846,917","12,760","614,592"
,충주시,"23,643,143",0,0,0,"23,643,143","7,459,202","187,295","671,087","9,421,919","5,903,640",0
,제천시,"7,874,071",0,0,0,"7,874,071",0,0,0,"2,989,960","4,884,111",0
,보은군,"4,896,311",0,0,0,"4,896,311",0,0,0,"4,896,311",0,0
,옥천군,"5,935,008","472,934",0,"472,934","5,462,074","216,798",0,0,"5,140,000","105,276",0
,영동군,"5,614,000",0,0,0,"5,614,000","1,791,000","189,000",0,"2,786,000","848,000",0
,증평군,"4,341,113",0,0,0,"4,341,113",0,0,0,"2,341,113","2,000,000",0
,진천군,"11,304,948","984,259","984,259",0,"10,320,689","103,230","45,601",0,"4,784,258","5,387,600",0
,괴산군,"898,679","2,708",0,"2,708","895,971",0,0,0,"895,971",0,0
,음성군,"10,486,968",0,0,0,"10,486,968",0,0,0,"6,486,968","4,000,000",0
,단양군,"3,114,558",0,0,0,"3,114,558","1,477,612","118,945","191,244",0,"1,326,757",0
충남,소계,"220,721,359","6,038,714","2,022,978","4,015,736","214,682,645","30,161,771","3,585,270","3,778,057","146,026,860","18,302,937","12,827,750"
,충남도,0,0,0,0,0,0,0,0,0,0,0
,천안시,"73,387,380",0,0,0,"73,387,380","9,269,259","2,257,520","167,428","52,032,552","2,538,307","7,122,314"
,공주시,"5,462,704","129,166","77,166","52,000","5,333,538","4,119,193","398,454","126,051","579,840","110,000",0
,보령시,"14,307,773","1,765,459","1,225,718","539,741","12,542,314","776,808","97,626","380,434","4,766,543","5,602,340","918,563"
,아산시,"28,390,553","875,736",0,"875,736","27,514,817","3,754,164","62,572","975,518","17,487,968","1,693,453","3,541,142"
,서산시,"19,834,700",0,0,0,"19,834,700","1,694,804","64,796",0,"18,075,100",0,0
,논산시,"12,482,497",0,0,0,"12,482,497",0,0,0,"12,482,497",0,0
,계룡시,"1,745,148","200,219",0,"200,219","1,544,929","1,265,193","73,530","206,206",0,0,0
,당진시,"14,425,793",0,0,0,"14,425,793","973,858","95,383","640,642","11,655,877","1,006,542","53,491"
,금산군,"1,703,290",0,0,0,"1,703,290","250,000",0,"180,000","1,133,290",0,"140,000"
,부여군,"9,737,306",0,0,0,"9,737,306",0,0,0,"9,737,306",0,0
,서천군,"6,994,100","884,000","600,000","284,000","6,110,100","372,950","15,920","1,950","5,224,000","495,280",0
,청양군,"3,123,601",0,0,0,"3,123,601","1,136,099","51,179","384,288","308,873","852,708","390,454"
,홍성군,"12,289,489","120,094","120,094",0,"12,169,395","1,745,698","21,690","376,720","9,128,199","844,463","52,625"
,예산군,"9,017,125",0,0,0,"9,017,125","2,711,417","429,100","133,820","1,105,815","4,027,812","609,161"
,태안군,"7,819,900","2,064,040",0,"2,064,040","5,755,860","2,092,328","17,500","205,000","2,309,000","1,132,032",0
전북,소계,"207,797,816","12,889,936","7,024,185","5,865,751","194,907,880","42,939,384","3,719,188","11,071,337","109,281,439","20,619,909","7,276,623"
,전주시,"67,111,781",0,0,0,"67,111,781","14,993,597","765,762","107,637","33,721,718","15,194,223","2,328,844"
,군산시,"37,058,357","1,180,000","1,180,000",0,"35,878,357","3,195,284","192,500","4,876,600","27,613,973",0,0
,익산시,"31,042,033",0,0,0,"31,042,033",0,0,"696,749","30,345,284",0,0
,정읍시,"9,792,093",0,0,0,"9,792,093","380,339","116,228","403,200","8,722,245","170,081",0
,남원시,"10,617,295","1,450,000","1,220,000","230,000","9,167,295","5,424,013","380,000","300,000",0,"343,301","2,719,981"
,김제시,"9,706,683",0,0,0,"9,706,683","3,767,331","444,539","2,534,752","1,864,539","892,292","203,230"
,완주군,"7,298,457",0,0,0,"7,298,457","2,701,058","114,087","213,573","3,247,955","117,735","904,049"
,진안군,"1,679,462",0,0,0,"1,679,462","236,883","114,055","156,399","834,639","144,653","192,833"
,무주군,"3,705,492",0,0,0,"3,705,492","1,633,996","15,325","33,521","15,040","2,007,610",0
