1. 생활폐기물 관리 구역 현황,,,,,,,,,,,,,,,,,
나. 시·군·구 생활폐기물 관리구역 현황,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
시도,시군구,전체행정구역,,,,생활폐기물 관리구역,,,,생활폐기물 관리제외지역,,,,관리제외지역 비율(%),,,
,,면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적비,인구비,동수비,세대수비
,용인시,591.26,"1,078,591",31,"406,880",591.26,"1,078,591",31,"406,880",0.00,0,0,0,0.0,0.0,0.0,0.0
,부천시,53.45,"855,685",10,"340,160",53.45,"855,685",10,"340,160",0.00,0,0,0,0.0,0.0,0.0,0.0
,안산시,155.73,"707,385",25,"277,331",155.73,"707,385",25,"277,331",0.00,0,0,0,0.0,0.0,0.0,0.0
,남양주시,458.12,"709,307",16,"276,656",458.12,"709,307",16,"276,656",0.00,0,0,0,0.0,0.0,0.0,0.0
,안양시,58.46,"574,464",31,"222,589",58.46,"574,464",31,"222,589",0.00,0,0,0,0.0,0.0,0.0,0.0
,화성시,697.77,"855,949",28,"327,797",697.77,"855,949",28,"327,797",0.00,0,0,0,0.0,0.0,0.0,0.0
,평택시,458.24,"537,135",23,"226,020",458.24,"537,135",23,"226,020",0.00,0,0,0,0.0,0.0,0.0,0.0
,의정부시,81.54,"456,776",14,"190,760",81.54,"456,776",14,"190,760",0.00,0,0,0,0.0,0.0,0.0,0.0
,시흥시,138.66,"508,379",18,"194,750",138.66,"508,379",18,"194,750",0.00,0,0,0,0.0,0.0,0.0,0.0
,파주시,673.23,"465,612",20,"191,668",673.23,"465,612",20,"191,668",0.00,0,0,0,0.0,0.0,0.0,0.0
,김포시,276.61,"457,556",14,"174,613",276.61,"457,556",14,"174,613",0.00,0,0,0,0.0,0.0,0.0,0.0
,광명시,38.53,"322,494",18,"126,001",38.53,"322,494",18,"126,001",0.00,0,0,0,0.0,0.0,0.0,0.0
,광주시,430.99,"385,640",10,"156,884",430.99,"385,640",10,"156,884",0.00,0,0,0,0.0,0.0,0.0,0.0
,군포시,36.42,"282,862",11,"110,005",36.42,"282,862",11,"110,005",0.00,0,0,0,0.0,0.0,0.0,0.0
,오산시,42.71,"236,075",6,"95,209",42.71,"236,075",6,"95,209",0.00,0,0,0,0.0,0.0,0.0,0.0
,이천시,461.42,"223,349",14,"92,643",461.42,"223,349",14,"92,643",0.00,0,0,0,0.0,0.0,0.0,0.0
,양주시,310.39,"229,778",11,"93,026",310.39,"229,778",11,"93,026",0.00,0,0,0,0.0,0.0,0.0,0.0
,안성시,553.42,"195,207",15,"81,599",553.42,"195,207",15,"81,599",0.00,0,0,0,0.0,0.0,0.0,0.0
,구리시,33.33,"200,755",8,"79,870",33.33,"200,755",8,"79,870",0.00,0,0,0,0.0,0.0,0.0,0.0
,포천시,826.96,"161,643",14,"69,976",826.96,"161,643",14,"69,976",0.00,0,0,0,0.0,0.0,0.0,0.0
,의왕시,53.99,"162,344",6,"62,387",53.99,"162,344",6,"62,387",0.00,0,0,0,0.0,0.0,0.0,0.0
,하남시,92.99,"274,734",13,"115,792",92.99,"274,734",13,"115,792",0.00,0,0,0,0.0,0.0,0.0,0.0
,여주시,608.30,"114,659",12,"50,334",608.30,"114,659",12,"50,334",0.00,0,0,0,0.0,0.0,0.0,0.0
,양평군,877.65,"118,374",12,"55,782",877.65,"118,374",12,"55,782",0.00,0,0,0,0.0,0.0,0.0,0.0
,동두천시,95.66,"98,245",8,"42,999",95.66,"98,245",8,"42,999",0.00,0,0,0,0.0,0.0,0.0,0.0
,과천시,35.87,"58,462",6,"21,467",35.87,"58,462",6,"21,467",0.00,0,0,0,0.0,0.0,0.0,0.0
,가평군,843.69,"63,462",6,"30,768",843.69,"63,462",6,"30,768",0.00,0,0,0,0.0,0.0,0.0,0.0
,연천군,676.32,"44,839",10,"21,630",676.32,"44,839",10,"21,630",0.00,0,0,0,0.0,0.0,0.0,0.0
강원,소계,"16,875.28","1,560,571",193,"719,524","16,465.22","1,558,268",193,"718,664",410.06,"2,303",0,860,2.4,0.1,0.0,0.1
,춘천시,"1,116.37","285,585",25,"123,006","1,116.37","285,585",25,"123,006",0.00,0,0,0,0.0,0.0,0.0,0.0
,원주시,868.24,"352,860",25,"154,583",868.24,"352,860",25,"154,583",0.00,0,0,0,0.0,0.0,0.0,0.0
,강릉시,"1,040.78","215,911",21,"99,086","1,040.78","215,911",21,"99,086",0.00,0,0,0,0.0,0.0,0.0,0.0
,동해시,180.20,"91,453",10,"41,141",104.67,"90,707",10,"40,729",75.53,746,0,412,41.9,0.8,0.0,1.0
,태백시,303.52,"44,124",8,"21,798",303.52,"44,124",8,"21,798",0.00,0,0,0,0.0,0.0,0.0,0.0
,속초시,105.76,"82,824",8,"38,689",105.76,"82,824",8,"38,689",0.00,0,0,0,0.0,0.0,0.0,0.0
,삼척시,"1,187.84","68,001",12,"34,082","1,187.84","68,001",12,"34,082",0.00,0,0,0,0.0,0.0,0.0,0.0
,홍천군,"1,820.31","70,065",10,"33,142","1,820.31","70,065",10,"33,142",0.00,0,0,0,0.0,0.0,0.0,0.0
,횡성군,998.07,"47,257",9,"22,832",998.07,"47,257",9,"22,832",0.00,0,0,0,0.0,0.0,0.0,0.0
,영월군,"1,127.29","39,408",9,"21,044","1,127.29","39,408",9,"21,044",0.00,0,0,0,0.0,0.0,0.0,0.0
,평창군,"1,463.93","42,577",8,"21,379","1,463.93","42,577",8,"21,379",0.00,0,0,0,0.0,0.0,0.0,0.0
,정선군,"1,219.78","37,573",9,"19,974","1,219.78","37,573",9,"19,974",0.00,0,0,0,0.0,0.0,0.0,0.0
,철원군,889.68,"46,295",11,"21,216",714.08,"46,295",11,"21,216",175.60,0,0,0,19.7,0.0,0.0,0.0
,화천군,908.93,"25,181",5,"12,603",800.00,"23,721",5,"12,218",108.93,"1,460",0,385,12.0,5.8,0.0,3.1
,양구군,705.25,"23,052",5,"10,840",655.25,"22,955",5,"10,777",50.00,97,0,63,7.1,0.4,0.0,0.6
,인제군,"1,644.97","31,981",6,"15,583","1,644.97","31,981",6,"15,583",0.00,0,0,0,0.0,0.0,0.0,0.0
,고성군,664.28,"28,392",6,"14,445",664.28,"28,392",6,"14,445",0.00,0,0,0,0.0,0.0,0.0,0.0
,양양군,630.08,"28,032",6,"14,081",630.08,"28,032",6,"14,081",0.00,0,0,0,0.0,0.0,0.0,0.0
충북,소계,"7,406.84","1,633,854",153,"722,123","7,391.04","1,633,834",153,"722,112",15.80,20,0,11,0.2,0.0,0.0,0.0
,청주시,940.83,"848,270",43,"360,496",940.83,"848,270",43,"360,496",0.00,0,0,0,0.0,0.0,0.0,0.0
,충주시,983.48,"216,838",25,"95,648",983.48,"216,838",25,"95,648",0.00,0,0,0,0.0,0.0,0.0,0.0
,제천시,883.42,"139,762",17,"63,417",883.42,"139,762",17,"63,417",0.00,0,0,0,0.0,0.0,0.0,0.0
,보은군,584.21,"35,823",11,"16,684",584.21,"35,823",11,"16,684",0.00,0,0,0,0.0,0.0,0.0,0.0
,옥천군,537.22,"52,065",9,"24,004",521.42,"52,045",9,"23,993",15.80,20,0,11,2.9,0.0,0.0,0.0
,영동군,846.02,"48,738",11,"24,509",846.02,"48,738",11,"24,509",0.00,0,0,0,0.0,0.0,0.0,0.0
,증평군,81.81,"37,392",2,"17,283",81.81,"37,392",2,"17,283",0.00,0,0,0,0.0,0.0,0.0,0.0
,진천군,407.30,"81,457",7,"37,213",407.30,"81,457",7,"37,213",0.00,0,0,0,0.0,0.0,0.0,0.0
,괴산군,842.19,"39,163",11,"21,256",842.19,"39,163",11,"21,256",0.00,0,0,0,0.0,0.0,0.0,0.0
,음성군,520.20,"104,248",9,"46,402",520.20,"104,248",9,"46,402",0.00,0,0,0,0.0,0.0,0.0,0.0
,단양군,780.16,"30,098",8,"15,211",780.16,"30,098",8,"15,211",0.00,0,0,0,0.0,0.0,0.0,0.0
충남,소계,"8,245.55","2,194,384",207,"959,255","8,220.25","2,191,142",207,"957,539",25.30,"3,242",0,"1,716",0.3,0.1,0.0,0.2
,천안시,636.08,"672,556",30,"281,333",636.08,"672,556",30,"281,333",0.00,0,0,0,0.0,0.0,0.0,0.0
,공주시,864.15,"108,629",16,"50,519",864.15,"108,629",16,"50,519",0.00,0,0,0,0.0,0.0,0.0,0.0
,보령시,586.56,"104,162",16,"48,324",563.43,"101,160",16,"46,779",23.13,"3,002",0,"1,545",3.9,2.9,0.0,3.2
,아산시,542.80,"333,074",17,"135,159",542.80,"333,074",17,"135,159",0.00,0,0,0,0.0,0.0,0.0,0.0
,서산시,742.03,"179,151",15,"76,748",740.63,"178,994",15,"76,628",1.40,157,0,120,0.2,0.1,0.0,0.2
,논산시,555.58,"122,981",15,"57,196",555.58,"122,981",15,"57,196",0.00,0,0,0,0.0,0.0,0.0,0.0
,계룡시,60.70,"43,188",4,"15,967",60.70,"43,188",4,"15,967",0.00,0,0,0,0.0,0.0,0.0,0.0
,당진시,705.42,"173,024",14,"76,162",705.42,"173,024",14,"76,162",0.00,0,0,0,0.0,0.0,0.0,0.0
,금산군,577.24,"54,596",10,"25,521",577.24,"54,596",10,"25,521",0.00,0,0,0,0.0,0.0,0.0,0.0
,부여군,624.53,"67,984",16,"33,341",624.53,"67,984",16,"33,341",0.00,0,0,0,0.0,0.0,0.0,0.0
,서천군,366.12,"54,205",13,"26,410",365.35,"54,122",13,"26,359",0.77,83,0,51,0.2,0.2,0.0,0.2
,청양군,479.10,"32,359",10,"16,296",479.10,"32,359",10,"16,296",0.00,0,0,0,0.0,0.0,0.0,0.0
,홍성군,446.70,"102,872",11,"45,920",446.70,"102,872",11,"45,920",0.00,0,0,0,0.0,0.0,0.0,0.0
,예산군,542.65,"81,488",12,"38,290",542.65,"81,488",12,"38,290",0.00,0,0,0,0.0,0.0,0.0,0.0
,태안군,515.89,"64,115",8,"32,069",515.89,"64,115",8,"32,069",0.00,0,0,0,0.0,0.0,0.0,0.0
전북,소계,"8,069.13","1,849,962",243,"816,191","8,054.08","1,847,489",242,"815,022",15.05,"2,473",1,"1,169",0.2,0.1,0.4,0.1
,전주시,206.04,"663,098",35,"273,753",206.04,"663,098",35,"273,753",0.00,0,0,0,0.0,0.0,0.0,0.0
,군산시,396.68,"276,232",27,"118,264",381.63,"273,759",26,"117,095",15.05,"2,473",1,"1,169",3.8,0.9,3.7,1.0
,익산시,506.54,"292,916",29,"126,876",506.54,"292,916",29,"126,876",0.00,0,0,0,0.0,0.0,0.0,0.0
,정읍시,693.04,"113,415",23,"53,582",693.04,"113,415",23,"53,582",0.00,0,0,0,0.0,0.0,0.0,0.0
,남원시,752.19,"82,463",23,"38,427",752.19,"82,463",23,"38,427",0.00,0,0,0,0.0,0.0,0.0,0.0
